"      TERM IV","","","","","","Venue: Sec E MCR-07 , Sec F MCR-08 , Common MCR-07.","","","","","","","",""
"DAY","Date/Time","8:00 AM","08:30 To 10:00 AM","10:20 To 11:50AM","12:10 To 1:40 PM","02:45 to 4:15 PM","04:30 To 6:00 PM","06:15 To 7:45 PM","08:00 To 9:30PM","","","","",""
"Monday","15-06-2026","","Registration Term IV 9:30 am - 12:30 pm","","","PPBS (Dr.Smriti)","CMN sec E","CMN sec F","","","Course Code ","Courses Name","Faculty","TA"
"Tuesday","16-06-2026","","","MABA","CNB Sec E","CNB Sec F","PJM (LCR01)","PJM (LCR01)","","","BAVBD25-4","Business Analysis & Valuation  (20)","Dr N Sivasankaran","Ms.Surekha"
"","","","","","DGM Sec F","DGM Sec E","","","","","CMNBD25-4","Conflicts Management and Negotiations (20)","Dr Ankit  ","Ms.Chandrima"
"Wednesday","17-06-2026","","","","","PPBS (Dr.Smriti)","CMN sec E","CMN sec F","","","CNBBD25-4","Consumer Behaviour ","Dr Megha Bharti","Ms.Indu"
"","","","","INM Sec F","INM Sec E","","","","","","CSPBD25-4","Corporate Sustainability in Practice  (21)","Dr Sanchayan Nath ","Mr.Shubham"
"Thursday","18-06-2026","","","INM Sec F","INM Sec E","","","DPCC sec E (AG)","DPCC sec F (AG)","","DGMBD25-4","Digital Marketing (20)","Dr Mohit Malhan","Mr. Souparna"
"","","","","DGM Sec E","DGM Sec F","","","","","","DMDBD25-4","Debt Markets and their Derivatives  (21)","Dr Nand Kishore Rathi","Mr. Souparna"
"Friday","19-06-2026","","CSP","DPCC sec E (AG)","CNB Sec E","CNB Sec F","MABA","","","","DPCCBD25-4","Digital Product Management: Concept to Commercialization (20)","Mr Atanu Ghosh, Dr Dipankar Bose, Dr Harshit Kumar Singh  ","Ms.Nupur"
"","","","","","DPCC (AG) sec F","1 SGM Sec E","","1 SGM Sec F","2 SGM Sec F","","INMBD25-4","International Management (21)","Dr Faisal Mohammad Ahsan  ","Ms.Chandrima"
"Saturday","20-06-2026","","PJM ","","","2 SGM Sec E","3 SGM Sec E","3 SGM Sec F","","","LSCBD25-4","Logistics and Supply Chain Management (20)","Dr T A S Vijayaraghavan ","Mr. Souparna"
"","","","","","","","","","","","MABABD25-4","Management of Banking (20)","Dr Pankaj Kumar Agarwal ","Ms.Indu"
"Sunday","21-06-2026","","","","","","","","","","PJMBD25-4","Project Management (20)","Prof Rajiv Misra  ","Ms.Akanksha"
"Monday","22-06-2026","","DMD","INM Sec F (10:30 am) MCR08","INM Sec E","PPBS (Dr.Smriti)","CSP","","","","PMGBD25-4","Product Management (20)","Prof.Sanjay Patro","Ms.Shikha"
"","","","","DGM Sec E","DGM Sec F","","","","","","PPBSBD25-4","Public Policy and Business Strategy (20)","Dr Smriti Das, Dr Kalyan Bhaskar","Ms.Chandrima"
"Tuesday","23-06-2026","","PJM ","DMD","MABA","CNB Sec E","CNB Sec F","RBS","","","QCAMBD25-4","Quality Control, Analysis and Management (19)","Dr Dipankar Bose ","Ms.Nupur"
"","","","","","","","","","","","RBSBD25-4","Resource Based Strategy (20)","Dr Manoj T Thomas ","Ms.Shikha"
"Wednesday","24-06-2026","","DMD","DGM Sec E","DGM Sec F","PPBS (Dr.Smriti)","RBS","","","","SGMBD25-4","Strategic Marketing","Mr.Ulhas Joshi ","Ms.Nupur Ghosh"
"","","","","INM Sec F (MCR8)","INM Sec E (MCR07)","","","","","","","","",""
"Thursday","25-06-2026","","BAV Sec E","BAV Sec E","PJM ","BAV Sec F","QCAM (DB)","DPCC sec E (AG)","DPCC sec F (AG)","","","","",""
"","","","","INM Sec F","","INM Sec E","","","","","","","",""
"Friday","26-06-2026","","BAV Sec F","BAV Sec F","DMD","BAV Sec E","DPCC sec F (DB)","DPCC sec E (DB)","RBS","","","","",""
"","","","4 SGM Sec E","CMN sec E","","CNB Sec F","CNB Sec E","CMN sec F","","","","","",""
"Saturday","27-06-2026","","BAV Sec E","BAV Sec F","PJM ","RBS","QCAM (DB)","4 SGM Sec F","5 SGM Sec F & E combined LCR01","","","","",""
"","","","DPCC sec F (DB)","DPCC sec E (DB)","","","","","","","","","",""
"Sunday","28-06-2026","","","","","","","","","","","  ","",""
"Monday","29-06-2026","","","DMD","CSP","PPBS (Dr.Smriti)","RBS","","","","","","",""
"Tuesday","30-06-2026","","PJM ","DMD","CNB Sec E","CNB Sec F","RBS","","","","","","",""
"","","","","","DGM Sec F","DGM Sec E","","","","","","","",""
"Wednesday","01-07-2026","","PJM ","DMD","CMN sec E","CMN sec F","PPBS (Dr.Smriti)","","","","","","",""
"","","","","","INM Sec F","INM Sec E","","","","","","","",""
"Thursday","02-07-2026","","DMD","DMD","DPCC sec F (AG)","DPCC sec E (AG)","RBS"," 6 SGM Sec E (MCR08)","","","","","",""
"","","","","","DGM Sec E","DGM Sec F","","PMG (MCR 07)","6 SGM Sec F","","","","",""
"Friday","03-07-2026","","DMD","MABA","PMG","PMG","DPCC sec F (AG)","DPCC sec E (AG)","","","","","",""
"","","","","","","","7 SGM Sec E","7 SGM Sec F","8 SGM Sec F","","","","",""
"Saturday","04-07-2026","","PMG","DPCC sec F (AG)","DPCC sec E (AG)","8 SGM Sec E","QCAM (VF)","QCAM (VF)","","",""," ","",""
"","","","","CNB Sec E","CNB Sec F","","","","","","","","",""
"Sunday","05-07-2026","","","","","","","","","","","","",""
"Monday","06-07-2026","","PJM ","QCAM (VF)","QCAM (VF)","INM Sec E","INM Sec F","","","","","","",""
"Tuesday","07-07-2026","DMD Quiz 1 (7:30 AM)","PJM ","MABA","CMN sec E","CMN sec F","DPCC sec F (HK)   MCR 08","DPCC sec E (HK) LCR 01","","","","","",""
"","","","","","INM Sec F","INM Sec E","","","","","","","",""
"Wednesday","08-07-2026","","CSP","DGM Sec E","DGM Sec F","PPBS (Dr.Smriti)","MABA","LSCM MCR08","","","","","",""
"","","","","CNB Sec F","CNB Sec E","","","","","","","","",""
"Thursday","09-07-2026","CMN Quiz 1 (7:30 am)","BAV Sec E","BAV Sec E","PJM ","BAV Sec F","DPCC sec F (HK)","DPCC sec E (HK)","LSCM","","","","",""
"","","","9 SGM Sec F","","","","9 SGM Sec E","10 SGM Sec F","","","","","",""
"Friday","10-07-2026","INM Quiz 1(7:30)","BAV Sec F","BAV Sec F","MABA","BAV Sec E","CMN sec F","LSCM","","","","","",""
"","","","10 SGM Sec E","CMN sec E","","DGM Sec F","DGM Sec E","","11 SGM Sec F & E","","","","",""
"Saturday","11-07-2026","","BAV Sec E","BAV Sec F MCR07","PJM ","CNB Sec E","CNB Sec F MCR07","LSCM","","","","","",""
"Sunday","12-07-2026","","","LSCM","","","","","","","","","",""
