      TERM V,,,,,,"Venue: Sec E MCR-07 , Sec F MCR-08 , Common MCR-07.",,,,,,,,
DAY,Date/Time,8:00 AM,08:30 To 10:00 AM,10:20 To 11:50AM,12:10 To 1:40 PM,02:45 to 4:15 PM,04:30 To 6:00 PM,06:15 To 7:45 PM,08:00 To 9:30PM,,Course Code ,Courses Name,Faculty,TA
Friday,11-09-2026,Term V registration (LCR-01),FME Sec EF (LCR-01),OMCR Sec EF (MCR-07),,DBF Sec EF (MCR-07),DBF Sec EF (MCR-07),,,,FMEBD25-5,Financial Modeling using Excel,Prof. Pitabas Mohanty,
Saturday,12-09-2026,,FME Sec EF (LCR-01),OMCR Sec EF (MCR-07),,BDM Sec EF (MCR-07),DBF Sec EF (MCR-07),DBF Sec EF (MCR-07),,,SDMBD25-5,Sales and Distribution Management,Dr. Sanjeev Varshney,
Sunday,13-09-2026,,,,,,,,,,GCDBD25-5,Gales of Creative Destruction - Managing Innovation,Dr Faisal Mohammad Ahsan,
Monday,14-09-2026,,FME Sec EF (LCR-01),SDM Sec E (MCR-07),GCD Sec E (MCR-07),BDM Sec EF (MCR-07),DBF Sec EF (MCR-07),DBF Sec EF (MCR-07),PCGM Sec EF (MCR-07),,B2BBD25-5,Business to Business Marketing,Dr. Mohit Malhan,
,,,,GCD Sec F (MCR-08),SDM Sec F (MCR-08),,,,,,IMCEBD25-5,International Business Models for the Circular Economy,Dr. Sanchayan Nath,
Tuesday,15-09-2026,,FME Sec EF (LCR-01),SDM Sec E (MCR-07),GCD Sec E (MCR-07),OMCR Sec EF (MCR-07),,,,,SAPMBD25-5,Security Analysis and Portfolio Management,Dr. Prantik Ray,
,,,,GCD Sec F (MCR-08),SDM Sec F (MCR-08),,,,,,DBFBD25-5,Demand and Business Forecasting,Dr. Amitava Mukherjee,
Wednesday,16-09-2026,,FME Sec EF (LCR-01),DBF Sec EF (MCR-07),DBF Sec EF (MCR-07),SDM Sec E (MCR-07),SDM Sec F (MCR-08),OMCR Sec EF (MCR-07),,,BDMBD25-5,Brand Management,Dr Madhu Mandal,
Thursday,17-09-2026,,,SAPM Sec EF (MCR-07),SAPM Sec EF (MCR-07),SDM Sec E (MCR-07),GCD Sec E (MCR-07),OMCR Sec EF (MCR-07),PCGM Sec EF (MCR-07),,VCPEBD25-5,Venture Capital & Private Equity,Mr Venkatesh Bangaruswamy,
,,,,,,GCD Sec F (MCR-08),SDM Sec F (MCR-08),,,,OMCRBD25-5,Omnichannel Retailing,Dr. Smitu Malhotra,
Friday,18-09-2026,,OMCR Sec EF (MCR-07),SAPM Sec EF (MCR-07),SAPM Sec EF (MCR-07),SDM Sec E (MCR-07),SDM Sec F (MCR-08),,,,PCGMBD25-5,Pricing Management,Dr. Narasimhan Rajkumar,
Saturday,19-09-2026,,,SAPM Sec EF (MCR-07),SAPM Sec EF (MCR-07),,,,,,MSTBD25-5,Managing Strategic Transformation,Dr. Indrajit Mukherjee,
Sunday,20-09-2026,,,,,,,,,,,,,
Monday,21-09-2026,,,,,,,,,,,,,
Tuesday,22-09-2026,,,,,,,,,,,,,
Wednesday,23-09-2026,,,,,,,,,,,,,
Thursday,24-09-2026,,,,,,,,,,,,,
Friday,25-09-2026,,,,,,,,,,,,,
Saturday,26-09-2026,,,,,,,,,,,,,
Sunday,27-09-2026,,,,,,,,,,,,,
Monday,28-09-2026,,,,,,,,,,,,,
Tuesday,29-09-2026,,,,,,,,,,,,,
Wednesday,30-09-2026,,,,,,,,,,,,,
Thursday,01-10-2026,,,,,,,,,,,,,
Friday,02-10-2026,,,,,,,,,,,,,
Saturday,03-10-2026,,,,,,,,,,,,,
Sunday,04-10-2026,,,,,,,,,,,,,
Monday,05-10-2026,,,OMCR Sec EF (MCR-07),B2B Sec E (MCR-07),B2B Sec F (MCR-08),PCGM Sec EF (MCR-07),BDM Sec EF (MCR-07),,,,,,
Tuesday,06-10-2026,,,IMCE Sec E (MCR-07),GCD Sec E (MCR-07),OMCR Sec EF (MCR-07),DBF Sec EF (MCR-07),DBF Sec EF (MCR-07),,,,,,
,,,,GCD Sec F (MCR-08),IMCE Sec F (MCR-08),,,,,,,,,
Wednesday,07-10-2026,,,IMCE Sec E (MCR-07),B2B Sec E (MCR-07),,OMCR Sec EF (MCR-07),BDM Sec EF (MCR-07),PCGM Sec EF (MCR-07),,,,,
,,,,B2B Sec F (MCR-08),IMCE Sec F (MCR-08),,,,,,,,,
Thursday,08-10-2026,,FME Sec EF (LCR-01),IMCE Sec E (MCR-07),GCD Sec E (MCR-07),OMCR Sec EF (MCR-07),VCPE Sec EF (MCR-07),VCPE Sec EF (MCR-07),,,,,,
,,,,GCD Sec F (MCR-08),IMCE Sec F (MCR-08),,,,,,,,,
Friday,09-10-2026,,FME Sec EF (LCR-01),VCPE Sec EF (MCR-07),VCPE Sec EF (MCR-07),BDM Sec EF (MCR-07),DBF Sec EF (MCR-07),DBF Sec EF (MCR-07),OMCR Sec EF (MCR-07),,,,,
Saturday,10-10-2026,,VCPE Sec EF (MCR-07),FME Sec EF (LCR-01),OMCR Sec EF (MCR-07),,,,,,,,,
Sunday,11-10-2026,,,,,,,,,,,,,
Monday,12-10-2026,,FME Sec EF (LCR-01),SDM Sec E (MCR-07),B2B Sec E (MCR-07),BDM Sec EF (MCR-07),DBF Sec EF (MCR-07),DBF Sec EF (MCR-07),PCGM Sec EF (MCR-07),,,,,
,,,,B2B Sec F (MCR-08),SDM Sec F (MCR-08),,,,,,,,,
Tuesday,13-10-2026,,FME Sec EF (LCR-01),SDM Sec E (MCR-07),IMCE Sec E (MCR-07),GCD Sec F (MCR-08),GCD Sec E (MCR-07),MST Sec EF (MCR-07),,,,,,
,,,,IMCE Sec F (MCR-08),SDM Sec F (MCR-08),,,,,,,,,
Wednesday,14-10-2026,,,SDM Sec E (MCR-07),IMCE Sec E (MCR-07),BDM Sec EF (MCR-07),DBF Sec EF (MCR-07),DBF Sec EF (MCR-07),,,,,,
,,,,IMCE Sec F (MCR-08),SDM Sec F (MCR-08),,,,,,,,,
Thursday,15-10-2026,,,SDM Sec E (MCR-07),B2B Sec E (MCR-07),GCD Sec F (MCR-08),GCD Sec E (MCR-07),MST Sec EF (MCR-07),PCGM Sec EF (MCR-07),,,,,
,,,,B2B Sec F (MCR-08),SDM Sec F (MCR-08),,,,,,,,,
Friday,16-10-2026,,,SDM Sec E (MCR-07),IMCE Sec E (MCR-07),,,MST Sec EF (MCR-07),,,,,,
,,,,IMCE Sec F (MCR-08),SDM Sec F (MCR-08),,,,,,,,,
Saturday,17-10-2026,,,,BDM Sec EF (MCR-07),,,,,,,,,
